"Peak_ID","Compound_Name","mz_mean","mz_diff_ppm","RT_diff","Adduct","Synonym","Chem_Sum_Formula","Exact_Mass","Lipid_Class","FA_composition","R1_24D","R2_24D","R3_24D","R5_24D","R6_24D","R1_24M","R2_24M","R3_24M","R5_24M","R6_24M","R1_48D","R2_48D","R3_48D","R5_48D","R6_48D","R1_48M","R2_48M","R3_48M","R5_48M","R6_48M","R1_72D","R2_72D","R3_72D","R5_72D","R6_72D","R1_72M","R2_72M","R3_72M","R5_72M","R6_72M"
"LP_28102","PC 39:6",820.5821478,NA,NA,"[M+H]+",NA,"C47H82NO8P","819.577807","Phosphatidylcholine","17:0/22:6",1525465,5499897,3801780,6833073,7879004,1557273,4487019,6438372,5255822,6568811,2623305,6905520,11039044,7964592,10811788,2674396,6313116,10139108,9222999,9815250,3913498,7130660,10067898,8326163,6244790,3589663,8714424,9701908,8104748,9093569
"LP_28134","TAG 48:2",820.7370363,NA,NA,"[M+NH4]+",NA,"C51H94O6","802.70504","Triacylglyceride","16:0/16:0/16:2 | 16:0/16:1/16:1",179318.71,415298,456354,528893,845719,122571,640496,765811,746504,770746,348391,216835,350098,323213,320919,288246,135536,370159,261165,549594,187583,122503.8,160933.13,141876.89,81881.24,226310,128595.25,194286.96,105193.47,224868
"LP_28217","PC 39:5",822.5976066,NA,NA,"[M+H]+",NA,"C47H84NO8P","821.593457","Phosphatidylcholine","17:0/22:5 | 17:1/22:4",1290739,3938060,2767046,3770746,4531240,1304708,2729000,4189822,3064806,4277042,2030508,4696643,6181661,4731282,6601058,1798231,4592388,6577663,6426637,6196278,2892100,4805769,6337812,5877038,3897562,2654611,5411737,6134114,4955498,6583076
"LP_28218","PC 39:5",822.5978956,NA,NA,"[M+H]+",NA,"C47H84NO8P","821.593457","Phosphatidylcholine","19:1/20:4 | 18:0/21:5",2106347,5514122,4417256,7367695,8613021,2171000,5638812,7584300,5555672,6399503,2765624,5418050,7362510,6239162,7546399,2929075,4156735,7624592,6814540,7431464,2535304,4995189,6694171,6094107,4626820,2409206,5409170,6079130,5447170,6875270
"LP_28328","PC 39:4",824.6154275,NA,NA,"[M+H]+",NA,"C47H86NO8P","823.609107","Phosphatidylcholine","17:0/22:4",365805,1588419,1103580,1548606,1806278,499447,1479590,1932710,1047256,2077238,714216,1568385,2575054,1735107,2448646,687606,1438314,3115572,1938719,1999288,933500,1180375,2002592,1449537,909128,877757,1220795,2403422,1744349,1864295
"LP_28429","PC 39:3",826.6306474,NA,NA,"[M+H]+",NA,"C47H88NO8P","825.624757","Phosphatidylcholine","18:0/21:3 | 17:0/22:3",755492,3647258,2433292,5091361,6809162,802930,3137158,4259841,4022576,4978280,1542625,4066483,6140878,5713036,6501843,1346726,3611198,6681764,5702716,6779204,2288746,3959899,5994168,5563082,3227448,2212568,4784412,5269051,5867330,6897859
"LP_28467","SM 43:2",827.6987618,NA,NA,"[M+H]+",NA,"C48H95N2O6P","826.692776","Sphyngomyelin",NA,1055118,3423618,2322528,3861211,4797744,1166652,3230076,4254529,2363836,4357807,1804557,1776506,4102729,2239152,3888566,1404266,1787357,4762108,1935991,3871809,1727020,1693400,3987782,3098862,1044946,1498556,2796828,3567338,2634028,3890379
"LP_28513","PC 39:2",828.6464335,NA,NA,"[M+H]+",NA,"C47H90NO8P","827.640407","Phosphatidylcholine","18:1/21:1 | 19:1/20:1 | 18:0/21:2 | 16:0/23:2",312520,1458803,1152789,2426357,3244335,344437,1159466,1651965,1599782,2498278,540241,1737980,3435548,2125818,3446994,519557,1440543,3570762,2627861,3438681,877181,2025364,3221389,3114539,1852984,725283,2824984,3072996,2844090,3655971
"LP_28563","SM 43:1",829.713612,NA,NA,"[M+H]+",NA,"C48H97N2O6P","828.708426","Sphyngomyelin",NA,2322626,6679738,5260301,6276914,7648605,2416134,6709184,9295248,4313625,6870199,4155115,4971937,9781901,4634935,7731822,3130390,4873098,10990298,4484186,7036153,4702940,4554742,9691218,6877475,2533985,3435820,7061805,9193628,6378426,8405696
"LP_28579","PC 40:8",830.5670915,NA,NA,"[M+H]+",NA,"C48H80NO8P","829.562157","Phosphatidylcholine","18:2/22:6 | 20:4/20:4 | 20:3/20:5",596533,5144896,3876595,8023820,9469782,726725,3899270,5457682,5977079,8592618,1882745,5836018,9077546,7789394,9131082,1589632,4087699,9827329,9326062,8258204,2606666,5685842,7749467,8238658,5015602,2393797,5722930,7326032,6337347,6949698
